SAMPLE,GROUP,BATCH
GSM2897425_20150408_C11_C11_05.RCC,bloodcontrol,11
GSM2897426_20150414_C13_C13_05.RCC,bloodHD,13
GSM2897427_20150318_C06_C06_07.RCC,bloodHD,6
GSM2897428_20150414_C13_C13_08.RCC,bloodcontrol,13
GSM2897429_20150408_C12_C12_11.RCC,bloodHD,12
GSM2897430_20150414_C14_C14_06.RCC,bloodHD,14
GSM2897431_20150617_c18_c18_09.RCC,bloodHD,18
GSM2897432_20150617_c18_c18_10.RCC,bloodHD,18
GSM2897433_20150617_c18_c18_11.RCC,bloodcontrol,18
GSM2897434_20150318_C06_C06_10.RCC,bloodHD,6
GSM2897435_20150617_c18_c18_12.RCC,bloodcontrol,18
GSM2897436_20150408_C12_C12_03.RCC,bloodHD,12
GSM2897437_20150311_c03_c03_12.RCC,bloodHD,3
GSM2897438_20150414_C14_C14_08.RCC,bloodcontrol,14
GSM2897439_20150401_C09_C09_08.RCC,bloodcontrol,9
GSM2897440_20150408_C11_C11_03.RCC,bloodcontrol,11
GSM2897441_20141224_Pre-HD_HD_07.RCC,bloodcontrol,0
GSM2897442_20150617_c19_c19_01.RCC,bloodcontrol,19
GSM2897443_20150401_C09_C09_07.RCC,bloodcontrol,9
GSM2897444_20150401_C09_C09_06.RCC,bloodcontrol,9
GSM2897445_20150318_C06_C06_12.RCC,bloodcontrol,6
GSM2897446_20150617_c19_c19_02.RCC,bloodcontrol,19
GSM2897447_20150318_C06_C06_09.RCC,bloodcontrol,6
GSM2897448_20150415_C16_C16_07.RCC,bloodcontrol,16
GSM2897449_20150408_C12_C12_05.RCC,bloodcontrol,12
GSM2897450_20150415_C15_C15_01.RCC,bloodcontrol,15
GSM2897451_20150617_c19_c19_03.RCC,bloodcontrol,19
GSM2897452_20150325_C07_C07_02.RCC,bloodcontrol,7
GSM2897453_20150414_C14_C14_10.RCC,bloodcontrol,14
GSM2897454_20150414_C14_C14_01.RCC,bloodcontrol,14
GSM2897455_20150401_C10_C10_03.RCC,bloodcontrol,10
GSM2897456_20150408_C12_C12_09.RCC,bloodHD,12
GSM2897457_20150401_C10_C10_04.RCC,bloodHD,10
GSM2897458_20150617_c19_c19_04.RCC,bloodHD,19
GSM2897459_20150617_c19_c19_05.RCC,bloodHD,19
GSM2897460_20150415_C16_C16_11.RCC,bloodcontrol,16
GSM2897461_20150408_C11_C11_11.RCC,bloodcontrol,11
GSM2897462_20150407_C01_C01_12.RCC,bloodcontrol,1
GSM2897463_20150415_C17_C17_12.RCC,bloodcontrol,17
GSM2897464_20150415_C16_C16_06.RCC,bloodHD,16
GSM2897465_20150311_c03_c03_09.RCC,bloodcontrol,3
GSM2897466_20150311_c03_c03_01.RCC,bloodcontrol,3
GSM2897467_20150415_C15_C15_05.RCC,bloodcontrol,15
GSM2897468_20150617_c19_c19_06.RCC,bloodHD,19
GSM2897469_20150408_C12_C12_06.RCC,bloodcontrol,12
GSM2897470_20150617_c19_c19_07.RCC,bloodcontrol,19
GSM2897471_20150407_C01_C01_11.RCC,bloodcontrol,1
GSM2897472_20150325_C07_C07_05.RCC,bloodcontrol,7
GSM2897473_20150311_c04_c04_05.RCC,bloodcontrol,4
GSM2897474_20150311_c04_c04_01.RCC,bloodcontrol,4
GSM2897475_20150318_C06_C06_11.RCC,bloodcontrol,6
GSM2897476_20150325_C08_C08_10.RCC,bloodcontrol,8
GSM2897477_20150617_c19_c19_08.RCC,bloodcontrol,19
GSM2897478_20150414_C13_C13_04.RCC,bloodcontrol,13
GSM2897479_20150408_C12_C12_10.RCC,bloodHD,12
GSM2897480_20150311_c03_c03_10.RCC,bloodcontrol,3
GSM2897481_20150318_C05_C05_03.RCC,bloodcontrol,5
GSM2897482_20150311_c04_c04_04.RCC,bloodHD,4
GSM2897483_20150325_C07_C07_12.RCC,bloodcontrol,7
GSM2897484_20150408_C11_C11_12.RCC,bloodcontrol,11
GSM2897485_20150311_c03_c03_08.RCC,bloodHD,3
GSM2897486_20150401_C09_C09_09.RCC,bloodHD,9
GSM2897487_20150325_C08_C08_02.RCC,bloodcontrol,8
GSM2897488_20150318_C05_C05_04.RCC,bloodHD,5
GSM2897489_20150401_C10_C10_01.RCC,bloodcontrol,10
GSM2897490_20150318_C05_C05_12.RCC,bloodcontrol,5
GSM2897491_20150401_C10_C10_09.RCC,bloodcontrol,10
GSM2897492_20150401_C10_C10_07.RCC,bloodcontrol,10
GSM2897493_20150407_C01_C01_10.RCC,bloodHD,1
GSM2897494_20150415_C17_C17_10.RCC,bloodHD,17
GSM2897495_20150325_C07_C07_11.RCC,bloodcontrol,7
GSM2897496_20150408_C11_C11_08.RCC,bloodcontrol,11
GSM2897497_20150401_C09_C09_10.RCC,bloodcontrol,9
GSM2897498_20150407_C01_C01_04.RCC,bloodcontrol,1
GSM2897499_20150415_C17_C17_04.RCC,bloodcontrol,17
GSM2897500_20150407_C01_C01_05.RCC,bloodcontrol,1
GSM2897501_20150415_C17_C17_05.RCC,bloodcontrol,17
GSM2897502_20150401_C09_C09_04.RCC,bloodcontrol,9
GSM2897503_20150311_c03_c03_04.RCC,bloodcontrol,3
GSM2897504_20150401_C09_C09_02.RCC,bloodcontrol,9
GSM2897505_20150414_C14_C14_03.RCC,bloodcontrol,14
GSM2897506_20150318_C05_C05_01.RCC,bloodcontrol,5
GSM2897507_20150415_C15_C15_04.RCC,bloodcontrol,15
GSM2897508_20141224_Pre-HD_HD_09.RCC,bloodHD,0
GSM2897509_20150407_C02_C02_08.RCC,bloodHD,2
GSM2897510_20150617_c19_c19_09.RCC,bloodHD,19
GSM2897511_20150414_C14_C14_11.RCC,bloodHD,14
GSM2897512_20150311_c04_c04_06.RCC,bloodHD,4
GSM2897513_20150325_C07_C07_09.RCC,bloodHD,7
GSM2897514_20150401_C10_C10_08.RCC,bloodcontrol,10
GSM2897515_20150325_C07_C07_01.RCC,bloodHD,7
GSM2897516_20150325_C08_C08_05.RCC,bloodcontrol,8
GSM2897517_20150415_C16_C16_09.RCC,bloodHD,16
GSM2897518_20150318_C06_C06_08.RCC,bloodHD,6
GSM2897519_20150325_C07_C07_06.RCC,bloodcontrol,7
GSM2897520_20150401_C10_C10_12.RCC,bloodcontrol,10
GSM2897521_20150325_C08_C08_03.RCC,bloodcontrol,8
GSM2897522_20150318_C05_C05_11.RCC,bloodcontrol,5
GSM2897523_20150311_c03_c03_11.RCC,bloodcontrol,3
GSM2897524_20150401_C09_C09_01.RCC,bloodcontrol,9
GSM2897525_20150311_c04_c04_09.RCC,bloodHD,4
GSM2897526_20150325_C08_C08_07.RCC,bloodHD,8
GSM2897527_20150408_C12_C12_08.RCC,bloodHD,12
GSM2897528_20150311_c04_c04_08.RCC,bloodcontrol,4
GSM2897529_20150415_C15_C15_12.RCC,bloodcontrol,15
GSM2897530_20150408_C12_C12_12.RCC,bloodHD,12
GSM2897531_20150311_c04_c04_03.RCC,bloodHD,4
GSM2897532_20150617_c19_c19_10.RCC,bloodHD,19
GSM2897533_20150617_c19_c19_11.RCC,bloodHD,19
GSM2897534_20150401_C10_C10_10.RCC,bloodHD,10
GSM2897535_20150414_C13_C13_10.RCC,bloodHD,13
GSM2897536_20150617_c19_c19_12.RCC,bloodcontrol,19
GSM2897537_20150408_C11_C11_02.RCC,bloodcontrol,11
GSM2897538_20150618_c20_c20_12.RCC,bloodHD,20
GSM2897539_20150415_C16_C16_01.RCC,bloodHD,16
GSM2897540_20150401_C09_C09_12.RCC,bloodcontrol,9
GSM2897541_20150415_C16_C16_05.RCC,bloodcontrol,16
GSM2897542_20150407_C01_C01_06.RCC,bloodcontrol,1
GSM2897543_20150415_C17_C17_06.RCC,bloodcontrol,17
GSM2897544_20150325_C08_C08_09.RCC,bloodcontrol,8
GSM2897545_20150401_C10_C10_06.RCC,bloodHD,10
GSM2897546_20150408_C12_C12_07.RCC,bloodHD,12
GSM2897547_20150408_C11_C11_09.RCC,bloodcontrol,11
GSM2897548_20150408_C12_C12_04.RCC,bloodcontrol,12
GSM2897549_20150618_c20_c20_11.RCC,bloodHD,20
GSM2897550_20150415_C15_C15_10.RCC,bloodcontrol,15
GSM2897551_20150414_C13_C13_09.RCC,bloodHD,13
GSM2897552_20150325_C08_C08_06.RCC,bloodcontrol,8
GSM2897553_20150408_C12_C12_01.RCC,bloodHD,12
GSM2897554_20150311_c03_c03_03.RCC,bloodHD,3
GSM2897555_20150318_C05_C05_10.RCC,bloodHD,5
GSM2897556_20150318_C05_C05_02.RCC,bloodHD,5
GSM2897557_20150415_C16_C16_02.RCC,bloodHD,16
GSM2897558_20150325_C08_C08_04.RCC,bloodHD,8
GSM2897559_20150318_C06_C06_02.RCC,bloodcontrol,6
GSM2897560_20150318_C06_C06_04.RCC,bloodHD,6
GSM2897561_20150318_C05_C05_05.RCC,bloodHD,5
GSM2897562_20150415_C15_C15_07.RCC,bloodHD,15
GSM2897563_20150318_C06_C06_06.RCC,bloodHD,6
GSM2897564_20150414_C14_C14_02.RCC,bloodHD,14
GSM2897565_20150618_c20_c20_10.RCC,bloodHD,20
GSM2897566_20150618_c20_c20_09.RCC,bloodcontrol,20
GSM2897567_20150618_c20_c20_08.RCC,bloodcontrol,20
